date,label,record_id,short_alias,formal_column,aggregation,factor_count,n,pearson_ic,rank_ic,pearson_ic_rolling20,pearson_ic_cumulative,rank_ic_rolling20,rank_ic_cumulative
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_buy,dm01_exact_buy,dm01_exact_buy,buy,2834,2825,-0.1048842862711828,-0.13065994724468316,,-0.1048842862711828,,-0.13065994724468316
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_sell,dm01_exact_sell,dm01_exact_sell,sell,2834,2825,-0.11406869284119937,-0.14575217197716678,,-0.11406869284119937,,-0.14575217197716678
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_buy,dm02_confirmed_buy,dm02_confirmed_buy,buy,2834,2825,-0.10461074070217051,-0.13063133539108615,,-0.10461074070217051,,-0.13063133539108615
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_sell,dm02_confirmed_sell,dm02_confirmed_sell,sell,2834,2825,-0.11411448368512823,-0.14575869570635164,,-0.11411448368512823,,-0.14575869570635164
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_buy,dm03_price_room_buy,dm03_price_room_buy,buy,2834,2825,-0.0832882586292302,-0.09413857078567832,,-0.0832882586292302,,-0.09413857078567832
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_sell,dm03_price_room_sell,dm03_price_room_sell,sell,2834,2825,-0.08043761670137495,-0.10988579985921462,,-0.08043761670137495,,-0.10988579985921462
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_buy,dm04_price_cap_buy,dm04_price_cap_buy,buy,2834,2825,-0.09898469445934535,-0.1268170256799543,,-0.09898469445934535,,-0.1268170256799543
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_sell,dm04_price_cap_sell,dm04_price_cap_sell,sell,2834,2825,-0.11273567593048357,-0.14657203099867963,,-0.11273567593048357,,-0.14657203099867963
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm05_lot_floor_buy,dm05_lot_floor_buy,dm05_lot_floor_buy,buy,2834,2825,-0.103755240632706,-0.13012749866319992,,-0.103755240632706,,-0.13012749866319992
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm05_lot_floor_sell,dm05_lot_floor_sell,dm05_lot_floor_sell,sell,2834,2825,-0.11303380218229366,-0.144674036802309,,-0.11303380218229366,,-0.144674036802309
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm06_soft_under_buy,dm06_soft_under_buy,dm06_soft_under_buy,buy,2834,2825,-0.10488285268778536,-0.13080309608857263,,-0.10488285268778536,,-0.13080309608857263
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm06_soft_under_sell,dm06_soft_under_sell,dm06_soft_under_sell,sell,2834,2825,-0.11382193431218891,-0.1453677271722958,,-0.11382193431218891,,-0.1453677271722958
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm07_fresh_match_buy,dm07_fresh_match_buy,dm07_fresh_match_buy,buy,2834,2825,-0.05399649709179285,-0.08199848892224446,,-0.05399649709179285,,-0.08199848892224446
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm07_fresh_match_sell,dm07_fresh_match_sell,dm07_fresh_match_sell,sell,2834,2825,-0.10162050913847122,-0.1286075896914389,,-0.10162050913847122,,-0.1286075896914389
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_buy,buy,2834,2825,-0.06782696418610137,-0.08127138645985335,,-0.06782696418610137,,-0.08127138645985335
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm08_adaptive_repeat_sell,dm08_adaptive_repeat_sell,dm08_adaptive_repeat_sell,sell,2834,2825,-0.04797604591906527,-0.069827715151222,,-0.04797604591906527,,-0.069827715151222
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm09_two_level_buy,dm09_two_level_buy,dm09_two_level_buy,buy,2834,2825,-0.07664068019223942,-0.11439314677097441,,-0.07664068019223942,,-0.11439314677097441
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm09_two_level_sell,dm09_two_level_sell,dm09_two_level_sell,sell,2834,2825,-0.06616103043771719,-0.09388044902828602,,-0.06616103043771719,,-0.09388044902828602
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm10_excess_cancel_buy,dm10_excess_cancel_buy,dm10_excess_cancel_buy,buy,2834,2825,-0.059333226668687795,-0.05836113045234279,,-0.059333226668687795,,-0.05836113045234279
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm10_excess_cancel_sell,dm10_excess_cancel_sell,dm10_excess_cancel_sell,sell,2834,2825,-0.06264952940745291,-0.06630133451751662,,-0.06264952940745291,,-0.06630133451751662
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm11_recent_buy,dm11_recent_buy,dm11_recent_buy,buy,2834,2825,-0.08066393324689934,-0.11192122446544508,,-0.08066393324689934,,-0.11192122446544508
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm11_recent_sell,dm11_recent_sell,dm11_recent_sell,sell,2834,2825,-0.11200228979402375,-0.14848661270958863,,-0.11200228979402375,,-0.14848661270958863
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm12_persistent_buy,dm12_persistent_buy,dm12_persistent_buy,buy,2834,2825,-0.10469074011179488,-0.1326211274210272,,-0.10469074011179488,,-0.1326211274210272
2024-01-02,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm12_persistent_sell,dm12_persistent_sell,dm12_persistent_sell,sell,2834,2825,-0.10954101880112005,-0.14217314983916365,,-0.10954101880112005,,-0.14217314983916365
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_buy,dm01_exact_buy,dm01_exact_buy,buy,2834,2828,-0.04689914035016756,-0.09699199315289331,,-0.15178342662135036,,-0.22765194039757647
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_sell,dm01_exact_sell,dm01_exact_sell,sell,2834,2828,-0.025309385700214432,-0.07248530888577948,,-0.13937807854141382,,-0.21823748086294625
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_buy,dm02_confirmed_buy,dm02_confirmed_buy,buy,2834,2828,-0.04683753052301616,-0.09691489679344925,,-0.15144827122518667,,-0.2275462321845354
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_sell,dm02_confirmed_sell,dm02_confirmed_sell,sell,2834,2828,-0.025305676524583282,-0.0724894905731178,,-0.1394201602097115,,-0.21824818627946946
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_buy,dm03_price_room_buy,dm03_price_room_buy,buy,2834,2828,-0.065270718919493,-0.12481232169381122,,-0.14855897754872321,,-0.21895089247948954
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_sell,dm03_price_room_sell,dm03_price_room_sell,sell,2834,2828,-0.07126144999087498,-0.1255812527031589,,-0.15169906669224992,,-0.23546705256237352
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_buy,dm04_price_cap_buy,dm04_price_cap_buy,buy,2834,2828,-0.03541709205292428,-0.0813986594290536,,-0.13440178651226964,,-0.2082156851090079
