period,formal_column,group,typical_within_std,mean_return
full,dm01_exact_buy,1,0.009134047434329207,-5.787916395587358e-05
full,dm01_exact_buy,2,0.010081124954465968,0.00011072176398613935
full,dm01_exact_buy,3,0.010179973467713932,0.00022492253346518727
full,dm01_exact_buy,4,0.010009042513601374,0.0001641657255951211
full,dm01_exact_buy,5,0.010164403647173963,0.000218563486434372
full,dm01_exact_buy,6,0.009902699040210015,0.0002149026975746298
full,dm01_exact_buy,7,0.009747160774973687,0.00022544775748137942
full,dm01_exact_buy,8,0.009541599852113843,0.00020513654711482788
full,dm01_exact_buy,9,0.009542612929731855,0.000225284339922157
full,dm01_exact_buy,10,0.009141698589601132,0.00021449749565180813
full,dm01_exact_sell,1,0.009354108512542455,0.0004143803486662662
full,dm01_exact_sell,2,0.010208123732300818,0.0003091809041298024
full,dm01_exact_sell,3,0.010399738931153465,0.00024369345320099012
full,dm01_exact_sell,4,0.010323940681583968,0.00020397756116754507
full,dm01_exact_sell,5,0.010307904485832405,0.00018518073804225588
full,dm01_exact_sell,6,0.010052288251002357,0.0001957532790787846
full,dm01_exact_sell,7,0.009686515413339342,6.473896806343722e-05
full,dm01_exact_sell,8,0.009407893843249167,7.71533168806956e-05
full,dm01_exact_sell,9,0.00914502341001726,6.368497510883696e-05
full,dm01_exact_sell,10,0.008406183206081623,-1.1035062239252111e-05
full,dm02_confirmed_buy,1,0.009135805816095462,-5.789141215087205e-05
full,dm02_confirmed_buy,2,0.010083666086450619,0.00011058460368938429
full,dm02_confirmed_buy,3,0.010186354418294387,0.00022559275050273
full,dm02_confirmed_buy,4,0.010004741200841206,0.00016377016678212824
full,dm02_confirmed_buy,5,0.010166105996038071,0.0002204047014162472
full,dm02_confirmed_buy,6,0.009898822452492953,0.0002130547443074861
full,dm02_confirmed_buy,7,0.00974717307414925,0.0002255299099395262
full,dm02_confirmed_buy,8,0.009553798411597678,0.0002043328425253242
full,dm02_confirmed_buy,9,0.009526925540419845,0.00022628651702201894
full,dm02_confirmed_buy,10,0.009141552157122866,0.00021411345671338764
full,dm02_confirmed_sell,1,0.009355777010255365,0.00041408525247022584
full,dm02_confirmed_sell,2,0.010212174663193,0.0003095838039396052
full,dm02_confirmed_sell,3,0.01040111115692848,0.00024358479877732226
full,dm02_confirmed_sell,4,0.01032733332932785,0.00020309598821664917
full,dm02_confirmed_sell,5,0.010303564098253717,0.00018552004199712344
full,dm02_confirmed_sell,6,0.01005214320166127,0.00019956669519513134
full,dm02_confirmed_sell,7,0.009683962978657428,6.251581578179625e-05
full,dm02_confirmed_sell,8,0.009406558071450875,7.533866038407685e-05
full,dm02_confirmed_sell,9,0.009141904242139712,6.46921133773192e-05
full,dm02_confirmed_sell,10,0.008406657812234127,-1.1170937604978129e-05
full,dm03_price_room_buy,1,0.008762867888346343,-0.0010783497747095393
full,dm03_price_room_buy,2,0.008221753064511872,0.00015460602096775073
full,dm03_price_room_buy,3,0.011008450079734144,0.00015719398686716722
full,dm03_price_room_buy,4,0.010237376837883711,0.00016086936801632413
